Name,Number of Solutions,Score,Time (Seconds)
p06,5,565,0.574145926
p07,4,3771,1.122158049
p08,9,4049,2.2392176590000004
p09,10,3388,3.4152643410000003
p10,4,3983,0.251160965
p11,4,3380,0.609960332
p12,9,657,4.027360368
p13,6,3220,5.828848945000001
p14,6,3157,2.7501385060000003
p15,16,341,18.241477980000003
p16,20,2343,14.527069089000001
p17,20,3281,20.550834243
p18,6,3228,3.4919313030000003
p19,8,3710,5.166532421
p20,33,1830,31.000934725
p21,17,3660,29.260275714000002
p22,8,1912,8.960489637
p23,23,3770,48.673609972
p24,14,661,11.199505918
p25,12,504,6.323741184
p26,14,520,100.30318651500001
p27,5,216,1.39121328
p28,28,1729,80.35567329300001
p29,6,3470,48.687454464000005
p30,14,4891,35.559364643
